random_seed,ticks,equal_traders_production_site,traders_distribution,proportion_inter_site_links,clustering_coefficient,average_path_length
2,5000,true,exponential,0.0001,0.6836784,17.531012
2,5000,true,exponential,0.0001,0.6836784,17.531012
2,5000,true,exponential,0.0001,0.6836784,17.531012
2,5000,true,exponential,0.0001,0.6836784,17.531012
2,5000,true,exponential,0.0001,0.6836784,17.531012
2,5000,true,exponential,0.0001,0.6836784,17.531012
2,5000,true,exponential,0.0001,0.6836784,17.531012
2,5000,true,exponential,0.0001,0.6836784,17.531012
2,5000,true,exponential,0.0001,0.6836784,17.531012
3,5000,true,exponential,0,0.7133022,104.03344
3,5000,true,exponential,0,0.7133022,104.03344
3,5000,true,exponential,0,0.57965636,85.34614
3,5000,true,exponential,0,0.57965636,85.34614
3,5000,true,exponential,0.0001,0.55359346,13.324785
3,5000,true,exponential,0,0.7133022,104.03344
3,5000,true,exponential,0,0.57965636,85.34614
3,5000,true,exponential,0.0001,0.5611534,13.787738
3,5000,true,exponential,0,0.7133022,104.03344
3,5000,true,exponential,0.0001,0.5611534,13.787738
3,5000,true,exponential,0,0.7133022,104.03344
3,5000,true,exponential,0.0001,0.55359346,13.324785
3,5000,true,exponential,0,0.57965636,85.34614
3,5000,true,exponential,0.001,0.3320658,6.2665825
3,5000,true,exponential,0,0.7133022,104.03344
3,5000,true,exponential,0.0001,0.5611534,13.787738
3,5000,true,exponential,0,0.57965636,85.34614
3,5000,true,exponential,0.0001,0.55359346,13.324785
3,5000,true,exponential,0,0.57965636,85.34614
3,5000,true,exponential,0.0001,0.55359346,13.324785
3,5000,true,exponential,0,0.57965636,85.34614
3,5000,true,exponential,0,0.7133022,104.03344
3,5000,true,exponential,0,0.57965636,85.34614
3,5000,true,exponential,0,0.7133022,104.03344
3,5000,true,exponential,0,0.57965636,85.34614
3,5000,true,exponential,0,0.7133022,104.03344
3,5000,true,exponential,0.0001,0.5611534,13.787738
3,5000,true,exponential,0.0001,0.5611534,13.787738
3,5000,true,exponential,0.0001,0.5611534,13.787738
3,5000,true,exponential,0.001,0.3320658,6.2665825
3,5000,true,exponential,0.0001,0.55359346,13.324785
3,5000,true,exponential,0.001,0.3320658,6.2665825
3,5000,true,exponential,0.0001,0.5611534,13.787738
3,5000,true,exponential,0.0001,0.5611534,13.787738
3,5000,true,exponential,0.001,0.3320658,6.2665825
3,5000,true,exponential,0.0001,0.55359346,13.324785
4,5000,true,uniform,0,0.4937287,86.93663
4,5000,true,uniform,0,0.4937287,86.93663
4,5000,true,uniform,0,0.4937287,86.93663
4,5000,true,uniform,0,0.4937287,86.93663
4,5000,true,uniform,0,0.4937287,86.93663
4,5000,true,uniform,0,0.4937287,86.93663
4,5000,true,uniform,0,0.4937287,86.93663
4,5000,true,uniform,0,0.4937287,86.93663
4,5000,true,uniform,0,0.4937287,86.93663
8,5000,true,uniform,0.003,0.069037944,5.0962243
8,5000,true,uniform,0.003,0.069037944,5.0962243
8,5000,true,uniform,0.003,0.069037944,5.0962243
8,5000,true,uniform,0.003,0.069037944,5.0962243
8,5000,true,uniform,0.003,0.069037944,5.0962243
8,5000,true,uniform,0.003,0.069037944,5.0962243
8,5000,true,uniform,0.003,0.069037944,5.0962243
8,5000,true,uniform,0.003,0.069037944,5.0962243
8,5000,true,uniform,0.003,0.069037944,5.0962243
9,5000,true,uniform,0.0001,0.6893266,15.350995
9,5000,true,uniform,0.0001,0.6893266,15.350995
9,5000,true,uniform,0.0001,0.6893266,15.350995
9,5000,true,uniform,0.0001,0.6893266,15.350995
9,5000,true,uniform,0.0001,0.6893266,15.350995
9,5000,true,uniform,0.0001,0.6893266,15.350995
9,5000,true,uniform,0.0001,0.6893266,15.350995
9,5000,true,uniform,0.0001,0.6893266,15.350995
9,5000,true,uniform,0.0001,0.6893266,15.350995
8,5000,true,uniform,0.003,0.058614805,5.078032
8,5000,true,uniform,0.003,0.058614805,5.078032
8,5000,true,uniform,0.003,0.058614805,5.078032
8,5000,true,uniform,0.003,0.058614805,5.078032
8,5000,true,uniform,0.003,0.058614805,5.078032
8,5000,true,uniform,0.003,0.058614805,5.078032
8,5000,true,uniform,0.003,0.058614805,5.078032
8,5000,true,uniform,0.003,0.058614805,5.078032
8,5000,true,uniform,0.003,0.058614805,5.078032
3,5000,true,uniform,0,0.60260314,90.42676
3,5000,true,uniform,0,0.60260314,90.42676
3,5000,true,uniform,0,0.60260314,90.42676
3,5000,true,uniform,0,0.60260314,90.42676
3,5000,true,uniform,0,0.60260314,90.42676
3,5000,true,uniform,0,0.60260314,90.42676
3,5000,true,uniform,0,0.60260314,90.42676
3,5000,true,uniform,0,0.60260314,90.42676
3,5000,true,uniform,0,0.60260314,90.42676
1,5000,false,exponential,0.003,0.068697125,5.124016
3,5000,false,exponential,0.003,0.06550902,5.138803
3,5000,false,exponential,0.003,0.06550902,5.138803
3,5000,false,exponential,0.003,0.06550902,5.138803
3,5000,false,exponential,0.003,0.06550902,5.138803
3,5000,false,exponential,0.003,0.06550902,5.138803
8,5000,false,exponential,0.003,0.05357143,5.063868
5,5000,false,exponential,0.001,0.3699112,6.3743324
5,5000,false,exponential,0.001,0.3699112,6.3743324
7,5000,false,exponential,0.003,0.067246675,5.1365323
7,5000,false,exponential,0.003,0.067246675,5.1365323
7,5000,false,exponential,0.003,0.067246675,5.1365323
7,5000,false,exponential,0.003,0.067246675,5.1365323
7,5000,false,exponential,0.003,0.067246675,5.1365323
9,5000,false,exponential,0.003,0.061779574,5.083037
9,5000,false,exponential,0.003,0.061779574,5.083037
9,5000,false,exponential,0.003,0.072370216,5.1383424
9,5000,false,exponential,0.003,0.072370216,5.1383424
7,5000,false,exponential,0.003,0.059141982,5.123217
7,5000,false,exponential,0.003,0.059141982,5.123217
7,5000,false,exponential,0.003,0.059141982,5.123217
7,5000,false,exponential,0.003,0.059141982,5.123217
7,5000,false,exponential,0.003,0.059141982,5.123217
5,5000,false,exponential,0.0001,0.63747877,14.919948
5,5000,false,exponential,0.0001,0.63747877,14.919948
1,5000,false,exponential,0.003,0.07117209,5.152202
7,5000,false,exponential,0,0.46622404,61.49315
7,5000,false,exponential,0,0.46622404,61.49315
7,5000,false,exponential,0,0.46622404,61.49315
7,5000,false,exponential,0,0.46622404,61.49315
9,5000,false,exponential,0.003,0.053299494,5.068907
9,5000,false,exponential,0,0.68081117,75.953156
9,5000,false,exponential,0,0.68081117,75.953156
9,5000,false,exponential,0,0.57538307,65.422295
9,5000,false,exponential,0,0.57538307,65.422295
1,5000,false,exponential,0.003,0.05079526,5.091215
7,5000,false,exponential,0.001,0.37093222,6.392575
7,5000,false,exponential,0.001,0.37093222,6.392575
7,5000,false,exponential,0.001,0.37093222,6.392575
7,5000,false,exponential,0.001,0.37093222,6.392575
7,5000,false,exponential,0.001,0.37093222,6.392575
1,5000,false,exponential,0.003,0.055476435,5.113049
9,5000,false,exponential,0.003,0.06659843,5.1364365
3,5000,false,exponential,0,0.44924864,59.74939
8,5000,false,exponential,0.003,0.067722164,5.13187
5,5000,false,uniform,0.001,0.28374317,6.1655874
2,5000,false,uniform,0.003,0.059379216,5.0875235
7,5000,false,uniform,0.003,0.06887305,5.110825
2,5000,false,uniform,0.001,0.27505112,6.200769
8,5000,false,uniform,0.001,0.32331267,6.3332434
9,5000,false,uniform,0.001,0.27510163,6.0664086
1,5000,false,uniform,0.001,0.3662543,6.3926587
7,5000,false,uniform,0.003,0.04789973,5.0564103
9,5000,false,uniform,0.001,0.33788034,6.311876
1,5000,false,uniform,0.0001,0.46909723,13.726271
1,5000,false,uniform,0.001,0.33357313,6.303998
8,5000,false,uniform,0.003,0.06403242,5.080144
1,5000,false,uniform,0.0001,0.46909723,13.726271
1,5000,false,uniform,0.0001,0.46909723,13.726271
8,5000,false,uniform,0.001,0.27992532,6.168893
7,5000,false,uniform,0.0001,0.4690476,13.1013975
7,5000,false,uniform,0.0001,0.4690476,13.1013975
7,5000,false,uniform,0.0001,0.4690476,13.1013975
1,5000,false,uniform,0.0001,0.59093684,14.511574
1,5000,false,uniform,0.0001,0.6672709,15.007469
1,5000,false,uniform,0.0001,0.6672709,15.007469
1,5000,false,uniform,0.0001,0.59093684,14.511574
1,5000,false,uniform,0.0001,0.59093684,14.511574
9,5000,false,uniform,0.001,0.33788034,6.311876
1,5000,false,uniform,0.001,0.3662543,6.3926587
1,5000,false,uniform,0.0001,0.6672709,15.007469
6,5000,false,uniform,0.001,0.349417,6.311966
4,5000,false,uniform,0.0001,0.48592895,12.985889
4,5000,false,uniform,0.0001,0.6623072,14.398883
7,5000,false,uniform,0.0001,0.5904906,14.4703045
7,5000,false,uniform,0.0001,0.5904906,14.4703045
4,5000,false,uniform,0.0001,0.6623072,14.398883
2,5000,false,uniform,0.001,0.37607804,6.3863683
3,5000,false,uniform,0.0001,0.5606925,13.819059
10,5000,false,uniform,0.0001,0.6001685,14.801363
10,5000,false,uniform,0.0001,0.6001685,14.801363
7,5000,false,uniform,0.0001,0.5904906,14.4703045
10,5000,false,uniform,0.0001,0.6001685,14.801363
1,5000,false,uniform,0.0001,0.47616586,14.265264
3,5000,false,uniform,0.0001,0.5606925,13.819059
4,5000,false,uniform,0.0001,0.48592895,12.985889
10,5000,false,uniform,0.0001,0.47743902,13.574747
1,5000,false,uniform,0.0001,0.47616586,14.265264
10,5000,false,uniform,0.0001,0.58989793,13.565812
10,5000,false,uniform,0.0001,0.47743902,13.574747
