equal_traders_production_site;traders_distribution;network_structure;traders_production_site;proportion_inter_site_links;proportion_intra_site_links;max_demand;local_knowledge
TRUE;exponential;hypothesis;10;0;0.0005;10;0.1
TRUE;exponential;hypothesis;10;0;0.0005;10;1
TRUE;exponential;hypothesis;10;0.0001;0.0005;10;0.1
TRUE;exponential;hypothesis;10;0.0001;0.0005;10;1
TRUE;exponential;hypothesis;10;0.0006;0.0005;10;0.1
TRUE;exponential;hypothesis;10;0.0006;0.0005;10;1
TRUE;exponential;hypothesis;10;0.001;0.0005;10;0.1
TRUE;exponential;hypothesis;10;0.001;0.0005;10;1
TRUE;exponential;hypothesis;10;0.002;0.0005;10;0.1
TRUE;exponential;hypothesis;10;0.002;0.0005;10;1
TRUE;exponential;hypothesis;10;0.003;0.0005;10;0.1
TRUE;exponential;hypothesis;10;0.003;0.0005;10;1
TRUE;exponential;hypothesis;1;0.001;0.0005;1;0.5
TRUE;exponential;hypothesis;1;0.001;0.0005;10;0.5
TRUE;exponential;hypothesis;20;0.001;0.0005;10;0.5
TRUE;exponential;hypothesis;30;0.001;0.0005;10;0.5
TRUE;exponential;hypothesis;10;0.001;0.0005;1;0.5
TRUE;exponential;hypothesis;10;0.001;0.0005;20;0.5
TRUE;exponential;hypothesis;10;0.001;0.0005;30;0.5
TRUE;exponential;hypothesis;30;0.001;0.0005;30;0.5
FALSE;exponential;hypothesis;0;0.0001;0.0005;10;0.5
TRUE;exponential;hypothesis;10;0.001;0.0005;10;0.5
FALSE;uniform;hypothesis;0;0.001;0.0005;10;0.5
FALSE;exponential;hypothesis;0;0.001;0.0005;10;0.5
FALSE;exponential;hypothesis;0;0.001;0.0005;30;0.5
FALSE;exponential;hypothesis;0;0.002;0.0005;10;0.5
FALSE;exponential;hypothesis;0;0.002;0.0005;30;0.5
FALSE;exponential;hypothesis;0;0.003;0.0005;10;0.5
FALSE;exponential;random;0;0.001;0.0005;10;0.5
FALSE;exponential;hypothesis;0;0.001;0.0005;10;1
FALSE;exponential;random;0;0.001;0.0005;30;0.5
FALSE;exponential;hypothesis;999;0.001;0.0005;10;0.5
FALSE;exponential;random;999;0.001;0.0005;10;0.5
TRUE;exponential;random;10;0.001;0.001;10;0.5
